,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,16.0,32.0,113162.7328125,61.16904476351351,0.015590799564768363
0,16.0,16.0,64.0,113624.7090625,61.418761655405405,0.01552741036641247
0,16.0,16.0,128.0,113294.6203125,61.24033530405405,0.015572650144250945
0,16.0,16.0,256.0,113960.9453125,61.600510979729734,0.015481597496800758
0,16.0,16.0,512.0,115162.3084375,62.24989645270271,0.015320094826975477
0,16.0,16.0,1024.0,116038.5996875,62.72356739864864,0.015204401730294359
0,16.0,16.0,2048.0,117868.0346875,63.71245118243243,0.01496841353231905
0,16.0,16.0,4096.0,119758.8428125,64.73450962837838,0.014732085281860008
0,16.0,16.0,8192.0,123053.8753125,66.51560827702703,0.014337601976503613
0,16.0,16.0,16384.0,130809.0871875,70.70761469594595,0.013487575851989038
0,16.0,16.0,32768.0,141782.6496875,76.63927010135134,0.012443676918513804
0,16.0,32.0,32.0,112732.7790625,60.93663733108108,0.031300523245785555
0,16.0,32.0,64.0,113974.8640625,61.608034628378384,0.030959413731012943
0,16.0,32.0,128.0,115114.0428125,62.223806925675675,0.030653036627871263
0,16.0,32.0,256.0,115984.0059375,62.694057263513514,0.030423116900001178
0,16.0,32.0,512.0,115727.7546875,62.555543074324326,0.03049048157431356
0,16.0,32.0,1024.0,116759.3628125,63.11316908783784,0.03022108793926218
0,16.0,32.0,2048.0,120791.7653125,65.29284611486486,0.02921221460903448
0,16.0,32.0,4096.0,125352.3409375,67.75802212837839,0.02814941424482215
0,16.0,32.0,8192.0,132078.8878125,71.39399341216216,0.026715813780793386
0,16.0,32.0,16384.0,145156.9246875,78.46320253378379,0.024308829761409814
0,16.0,32.0,32768.0,169956.5309375,91.86839510135134,0.020761749793665372
0,16.0,64.0,32.0,111924.8234375,60.49990456081081,0.06305294683582441
0,16.0,64.0,64.0,115747.0559375,62.56597618243243,0.06097079433308308
0,16.0,64.0,128.0,116251.5696875,62.838686317567564,0.06070619056512252
0,16.0,64.0,256.0,116479.9884375,62.96215591216216,0.06058714494783125
0,16.0,64.0,512.0,117345.4321875,63.42996334459459,0.060140303815408566
0,16.0,64.0,1024.0,120934.0428125,65.36975287162163,0.058355693559799755
0,16.0,64.0,2048.0,124395.4071875,67.24076064189188,0.0567319172118639
0,16.0,64.0,4096.0,134985.4890625,72.96512922297298,0.05228110066069865
0,16.0,64.0,8192.0,146752.4934375,79.32567212837837,0.04808906326996896
0,16.0,64.0,16384.0,175447.8853125,94.83669476351352,0.040223852963273174
0,16.0,64.0,32768.0,222586.5034375,120.31702888513513,0.03170538120055078
0,16.0,128.0,32.0,116611.0734375,63.03301266891892,0.12103807526282605
0,16.0,128.0,64.0,117020.8659375,63.254522128378376,0.12061421501320202
0,16.0,128.0,128.0,118237.2234375,63.91201266891891,0.1193734043656203
0,16.0,128.0,256.0,121507.7203125,65.67984881756756,0.11616035465785288
0,16.0,128.0,512.0,122091.4759375,65.99539239864865,0.1156049574731586
0,16.0,128.0,1024.0,128751.8096875,69.59557280405406,0.10962471067077235
0,16.0,128.0,2048.0,138585.3409375,74.91099510135135,0.10184612448311206
0,16.0,128.0,4096.0,154360.3503125,83.43802719594595,0.09143785859354116
0,16.0,128.0,8192.0,176227.5546875,95.25813766891892,0.08009178763164732
0,16.0,128.0,16384.0,232923.5171875,125.90460388513512,0.06059662868598308
0,16.0,128.0,32768.0,338137.5540625,182.77705625,0.041741533035346945
0,16.0,256.0,32.0,117284.3865625,63.39696570945946,0.24068642554497832
0,16.0,256.0,64.0,119383.5559375,64.5316518581081,0.23645433866513263
0,16.0,256.0,128.0,124341.8196875,67.21179442567568,0.22702546770234175
0,16.0,256.0,256.0,125013.1015625,67.57464949324324,0.2258064108370721
0,16.0,256.0,512.0,133113.4890625,71.95323733108107,0.21206535842524296
0,16.0,256.0,1024.0,145467.8715625,78.63128192567568,0.1940549446807217
0,16.0,256.0,2048.0,159519.1321875,86.2265579391892,0.17696159314150106
0,16.0,256.0,4096.0,203080.0240625,109.77298597972971,0.13900313385104568
0,16.0,256.0,8192.0,263508.6790625,142.43712381756757,0.10712648960098453
0,16.0,256.0,16384.0,416750.3853125,225.27047854729727,0.067735413717526
0,16.0,256.0,32768.0,711785.6903125,384.74902179054055,0.03965907175426836
0,16.0,512.0,32.0,123717.5071875,66.87432820945945,0.45634220106716894
0,16.0,512.0,64.0,126620.5103125,68.44351908783784,0.4458797346691743
0,16.0,512.0,128.0,129873.4171875,70.20184712837838,0.4347118968922187
0,16.0,512.0,256.0,139796.9865625,75.56593868243243,0.40385362317787143
0,16.0,512.0,512.0,155072.1228125,83.82276908783784,0.36407265543092754
0,16.0,512.0,1024.0,176126.5678125,95.20355016891892,0.3205508415614628
0,16.0,512.0,2048.0,217186.7521875,117.39824442567567,0.2599491864372369
0,16.0,512.0,4096.0,319102.3534375,172.48775861486487,0.1769260518574229
0,16.0,512.0,8192.0,545928.6546875,295.09657010135135,0.1034155636396558
0,16.0,512.0,16384.0,1013690.0059375,547.94054375,0.05569505391254695
0,16.0,512.0,32768.0,1698725.9278125,918.2302312500001,0.033235213878208804
0,32.0,16.0,32.0,110505.3715625,59.73263327702703,0.031931433932740165
0,32.0,16.0,64.0,113613.8478125,61.41289070945946,0.031057789516548362
0,32.0,16.0,128.0,112911.4096875,61.033194425675674,0.031251004488740124
0,32.0,16.0,256.0,114651.4853125,61.97377584459459,0.030776705258752698
0,32.0,16.0,512.0,115097.4246875,62.2148241554054,0.030657462412858192
0,32.0,16.0,1024.0,116440.9884375,62.941074831081075,0.030303718807100352
0,32.0,16.0,2048.0,117755.4259375,63.65158158783784,0.029965455464264254
0,32.0,16.0,4096.0,120137.8446875,64.93937550675675,0.02937121920470051
0,32.0,16.0,8192.0,123503.9890625,66.75891300675676,0.028570696365080698
0,32.0,16.0,16384.0,131091.7484375,70.8604045608108,0.026916987630734118
0,32.0,16.0,32768.0,142768.5196875,77.17217280405404,0.024715497360806554
0,32.0,32.0,32.0,114809.4503125,62.059162331081076,0.061468719893785086
0,32.0,32.0,64.0,114113.8684375,61.68317212837838,0.061843402906140724
0,32.0,32.0,128.0,115877.8559375,62.63667888513513,0.06090197204367188
0,32.0,32.0,256.0,114899.4009375,62.10778429054053,0.0614205982341357
0,32.0,32.0,512.0,117378.8578125,63.448031250000014,0.06012317784426492
0,32.0,32.0,1024.0,117912.7440625,63.73661841216216,0.05985095164150445
0,32.0,32.0,2048.0,121362.9709375,65.60160591216216,0.058149449443994375
0,32.0,32.0,4096.0,125953.3165625,68.08287381756757,0.05603020337652629
0,32.0,32.0,8192.0,132655.6284375,71.70574510135135,0.05319932539122776
0,32.0,32.0,16384.0,145878.6621875,78.85333091216215,0.0483771227180223
0,32.0,32.0,32768.0,171427.3015625,92.66340625000001,0.041167246274564626
0,32.0,64.0,32.0,117103.2896875,63.29907550675675,0.12052932007735605
0,32.0,64.0,64.0,116160.8053125,62.78962449324324,0.12150724889711789
0,32.0,64.0,128.0,114967.4234375,62.144553209459474,0.12276851531955808
0,32.0,64.0,256.0,117325.6884375,63.4192910472973,0.12030084862465823
0,32.0,64.0,512.0,117644.5584375,63.59165320945945,0.11997477887921497
0,32.0,64.0,1024.0,121376.6028125,65.60897449324324,0.11628583728057162
0,32.0,64.0,2048.0,124839.5121875,67.48081739864865,0.1130601973486628
0,32.0,64.0,4096.0,134949.9690625,72.94592922297296,0.10458972300457964
0,32.0,64.0,8192.0,150244.6559375,81.21332753378378,0.09394264172438475
0,32.0,64.0,16384.0,172044.9809375,92.99728699324324,0.0820388935865982
0,32.0,64.0,32768.0,224608.8403125,121.4101839527027,0.06283982350711359
0,32.0,128.0,32.0,118399.3740625,63.999661655405404,0.23841983954155296
0,32.0,128.0,64.0,116673.5846875,63.06680253378377,0.24194645128770975
0,32.0,128.0,128.0,119971.8546875,64.84965118243244,0.2352948518090372
0,32.0,128.0,256.0,122492.0553125,66.21192179054054,0.23045380123579595
0,32.0,128.0,512.0,123243.5884375,66.61815591216215,0.22904850574873162
0,32.0,128.0,1024.0,129860.8115625,70.19503327702702,0.21737704721962278
0,32.0,128.0,2048.0,138976.8090625,75.12259949324324,0.20311849119564196
0,32.0,128.0,4096.0,157252.8134375,85.00152077702704,0.17951195372160772
0,32.0,128.0,8192.0,178915.8265625,96.71125760135135,0.15777676190581244
0,32.0,128.0,16384.0,236984.0271875,128.0994741554054,0.11911671897115031
0,32.0,128.0,32768.0,342564.9521875,185.1702444256757,0.08240410931098971
0,32.0,256.0,32.0,124550.2553125,67.32446233108108,0.45329107837398086
0,32.0,256.0,64.0,123392.4259375,66.69860861486487,0.4575444490153548
0,32.0,256.0,128.0,124749.7446875,67.43229442567566,0.4525662130756966
0,32.0,256.0,256.0,128582.8246875,69.50422956081081,0.43907512276341615
0,32.0,256.0,512.0,135351.5240625,73.16298597972974,0.417117723091475
0,32.0,256.0,1024.0,147280.1684375,79.61090185810811,0.3833341592320539
0,32.0,256.0,2048.0,162429.8865625,87.79993868243243,0.347580859205362
0,32.0,256.0,4096.0,200566.6784375,108.41442077702703,0.28149002602615975
0,32.0,256.0,8192.0,267490.6153125,144.58952179054054,0.21106355251547512
0,32.0,256.0,16384.0,419870.0578125,226.95678800675677,0.13446426693572716
0,32.0,256.0,32768.0,718415.2496875,388.3325673986487,0.07858619309102792
0,32.0,512.0,32.0,132466.6534375,71.60359645270272,0.8524035003071666
0,32.0,512.0,64.0,128399.0646875,69.40489983108108,0.8794070217950796
0,32.0,512.0,128.0,135581.3796875,73.28723226351352,0.8328211390366438
0,32.0,512.0,256.0,142733.0640625,77.15300760135136,0.7910923780444444
0,32.0,512.0,512.0,156737.4646875,84.72295388513514,0.7204087375849341
0,32.0,512.0,1024.0,183370.7003125,99.11929746621622,0.6157747059600178
0,32.0,512.0,2048.0,221052.9009375,119.48805456081081,0.5108055066904399
0,32.0,512.0,4096.0,323682.6203125,174.9635785472973,0.3488449239428485
0,32.0,512.0,8192.0,551128.0990625,297.90708057432437,0.2048798441872262
0,32.0,512.0,16384.0,1019800.4078125,551.2434636824324,0.1107226847506189
0,32.0,512.0,32768.0,1695379.4459375,916.4213221283783,0.06660163265110082
0,64.0,16.0,32.0,111982.3603125,60.531005574324325,0.06302055004398982
0,64.0,16.0,64.0,115726.4246875,62.554824155405406,0.060981663963571436
0,64.0,16.0,128.0,113903.8828125,61.569666385135136,0.06195741330291339
0,64.0,16.0,256.0,116038.4871875,62.723506587837825,0.060817665872088436
0,64.0,16.0,512.0,116412.1678125,62.92549611486487,0.060622442434740444
0,64.0,16.0,1024.0,117066.1128125,63.27897989864865,0.06028379837855951
0,64.0,16.0,2048.0,118776.8553125,64.20370557432432,0.05941553112039168
0,64.0,16.0,4096.0,121783.4534375,65.82889374999999,0.05794867647613962
0,64.0,16.0,8192.0,124663.7540625,67.38581300675675,0.05660979805300359
0,64.0,16.0,16384.0,132641.3171875,71.69800929054054,0.05320506530426515
0,64.0,16.0,32768.0,144593.1934375,78.15848293918918,0.04880720713376974
0,64.0,32.0,32.0,112328.6828125,60.71820692567567,0.12565250058598132
